quantization_bits,ldpc_code_rate,qam_order,snr_db,rows,avg_ber,avg_bler,avg_semantic_score,avg_recovered_accuracy
4,0.75,256,-10.0,12,0.46349356282552084,1.0,0.050656275513271454,0.11686666666666667
4,0.75,256,-5.0,12,0.42412182617187505,1.0,0.06457197417815523,0.12684166666666666
4,0.75,256,0.0,12,0.3562304484049479,1.0,0.07741803303360936,0.1286
4,0.75,256,5.0,12,0.30243395182291666,1.0,0.10381625158091383,0.15445
4,0.75,256,10.0,12,0.23935054117838542,1.0,0.15891689310471213,0.22515
4,0.75,256,15.0,12,0.14001407063802082,1.0,0.18345663696527478,0.24285
4,0.75,256,20.0,12,0.03803461507161458,0.8295562411010916,0.20060388992230094,0.24979166666666666
8,0.5,4,-10.0,12,0.3748269999186198,1.0,0.006904810434207275,0.1017
8,0.5,4,-5.0,12,0.2800373799641927,1.0,0.013101579699044375,0.102325
8,0.5,4,0.0,12,0.10961009318033854,0.9998207034751885,0.03371683942774926,0.10994999999999999
8,0.5,4,5.0,12,2.8361002604166664e-06,0.00034277276802188337,0.986899713675181,0.5892583333333333
8,0.5,4,10.0,12,0.0,0.0,0.9884499460458755,0.590175
8,0.5,4,15.0,12,0.0,0.0,0.9884499460458755,0.590175
8,0.5,4,20.0,12,0.0,0.0,0.9884499460458755,0.590175
8,0.5,16,-10.0,12,0.436073524983724,1.0,0.0739496853202581,0.13855
8,0.5,16,-5.0,12,0.3776281046549479,1.0,0.10489049305518462,0.161875
8,0.5,16,0.0,12,0.2745720764160156,1.0,0.12950178794562814,0.18471666666666667
8,0.5,16,5.0,12,0.11609354248046876,0.9997791752359859,0.11956647907694175,0.17064166666666666
8,0.5,16,10.0,12,2.3260498046875e-05,0.0021317829457363916,0.9778401007254919,0.5840083333333334
8,0.5,16,15.0,12,0.0,0.0,0.9884499460458755,0.590175
8,0.5,16,20.0,12,0.0,0.0,0.9884499460458755,0.590175
8,0.5,64,-10.0,12,0.4519766357421875,1.0,0.025428087140123,0.10004166666666665
8,0.5,64,-5.0,12,0.4051541117350261,1.0,0.02465286183481411,0.09786666666666666
8,0.5,64,0.0,12,0.326406884765625,1.0,0.027798480819910727,0.09863333333333334
8,0.5,64,5.0,12,0.23945370076497396,1.0,0.028459712707747966,0.1025
8,0.5,64,10.0,12,0.08776279500325522,0.9880952380952381,0.05401925959934787,0.11731666666666667
8,0.5,64,15.0,12,0.00010997517903645834,0.007552206929283275,0.9476660341024399,0.5665666666666667
8,0.5,64,20.0,12,6.306966145833334e-08,1.4501924800928126e-05,0.9884050985177358,0.590125
