encoder_depth,quantization_bits,snr_db,rows,avg_ber,avg_bler,avg_semantic_score,avg_recovered_accuracy
6,2,20.0,12,0.0024826904296875,0.07378306790802037,0.49802112330993015,0.30105833333333337
6,4,-10.0,12,0.4295387003580729,1.0,0.05389647387589016,0.11325
6,4,-5.0,12,0.3703679402669271,1.0,0.075730530389895,0.1223
6,4,0.0,12,0.27087324218750003,0.9999854980751991,0.1033782651647925,0.13326666666666667
6,4,5.0,12,0.16817108561197916,0.7560138998944762,0.2435164501269658,0.18576666666666666
6,4,10.0,12,0.08818472900390624,0.56505929578897,0.34473555783430737,0.22683333333333333
6,4,15.0,12,0.028167183430989586,0.31808351285099323,0.45952461659908295,0.267575
6,4,20.0,12,0.0033479329427083333,0.0828970181336485,0.5349837231139342,0.29210833333333336
6,8,-10.0,12,0.4280998372395833,1.0,0.04795389331411565,0.111375
6,8,-5.0,12,0.3684546956380208,1.0,0.06390048439304029,0.11731666666666667
6,8,0.0,12,0.2681511983235677,0.9999822021831989,0.08046131891508894,0.12204166666666666
6,8,5.0,12,0.16867450561523437,0.7561409059747929,0.3057611966505646,0.227125
6,8,10.0,12,0.08909963175455728,0.5636717994691417,0.4674121079345544,0.30420833333333336
6,8,15.0,12,0.029371071370442706,0.3289928632951889,0.6688752298553785,0.39958333333333335
6,8,20.0,12,0.003626688639322917,0.09382558578987149,0.8838689823945364,0.504325
7,2,-10.0,12,0.4366616780598958,1.0,0.07010578208913401,0.12910000000000002
7,2,-5.0,12,0.3850335611979167,1.0,0.11031171741584933,0.15213333333333331
7,2,0.0,12,0.298763232421875,0.9999736328639983,0.17494195451339087,0.18928333333333333
7,2,5.0,12,0.18357528483072916,0.7561751792471365,0.28667361165086425,0.25921666666666665
7,2,10.0,12,0.08983945312500001,0.5693828293953397,0.3781062724689643,0.3161
7,2,15.0,12,0.027565315755208333,0.2841998835183046,0.4610780104994774,0.35955000000000004
7,2,20.0,12,0.0025534586588541667,0.07494937162834586,0.4983487551410993,0.37481666666666663
7,4,-10.0,12,0.4322516520182291,1.0,0.05554859091838196,0.11889166666666667
7,4,-5.0,12,0.37271875406901045,1.0,0.07724788691848512,0.13089166666666666
7,4,0.0,12,0.2728996419270833,0.999982861361599,0.10546319590260582,0.14335
7,4,5.0,12,0.16893465983072917,0.7561255209556084,0.24483415142943457,0.22355833333333333
7,4,10.0,12,0.0885364990234375,0.5704680599566782,0.34341395522157353,0.28352499999999997
7,4,15.0,12,0.02844300537109375,0.3209959715879382,0.45862918222943944,0.3449083333333333
7,4,20.0,12,0.003499609375,0.08503317862018063,0.5343436549107233,0.3781666666666666
7,8,-10.0,12,0.43130110473632816,1.0,0.049396943106936875,0.11434166666666667
7,8,-5.0,12,0.3712372192382813,1.0,0.0652654428655902,0.1206
7,8,0.0,12,0.27037672729492185,0.9999854980751991,0.0821834813492993,0.12808333333333333
7,8,5.0,12,0.16945297241210935,0.7560212650951854,0.3067633532918989,0.2506833333333333
7,8,10.0,12,0.08954248860677083,0.5701464694404894,0.4625316473344962,0.3380166666666667
7,8,15.0,12,0.029733854166666667,0.3324109230255409,0.666493833065033,0.447025
7,8,20.0,12,0.0038451395670572913,0.09691768180140274,0.8819439640889565,0.5620416666666667
8,2,-10.0,12,0.4377448160807291,1.0,0.0693520723531643,0.12704166666666666
8,2,-5.0,12,0.3857387451171875,1.0,0.11109536327421661,0.14960833333333332
8,2,0.0,12,0.298685693359375,0.9999947265727996,0.17904120745758212,0.18643333333333334
8,2,5.0,12,0.1848283203125,0.7561307946052787,0.29387467230359704,0.24995
8,2,10.0,12,0.09069819335937501,0.5730794922965693,0.3890483615299066,0.30407500000000004
8,2,15.0,12,0.028470393880208333,0.2899088031689115,0.4751015305519104,0.350225
8,2,20.0,12,0.0030332682291666665,0.08391504636922936,0.5143650472164154,0.37255
8,4,-10.0,12,0.43459537353515626,1.0,0.053609409524748665,0.11771666666666668
8,4,-5.0,12,0.3747928019205729,1.0,0.07617154546702898,0.13014166666666668
8,4,0.0,12,0.27435421549479166,0.9999868164319992,0.10597543573627866,0.143375
8,4,5.0,12,0.16954971923828124,0.7561786944944867,0.24977757533391312,0.22239166666666668
